,Date,Time‡,Place,Magnitude,Intensity,Dead,Injured
0,2001 January 1,14:57,Mindanao,7.5,VII,,
1,2002 March 6,05:16,Mindanao,7.5,IX,15,100
2,2003 November 19,01:14,Samar,6.5,VII,1,21
3,2010 July 24,,Mindanao,"7.3, 7.6, 7.5",III,,
4,2012 February 6,11:49,Negros,6.7,VII,113,112
5,2012 August 31,20:47,Samar,7.6,VII,1,1
6,2013 October 15,08:12,Bohol,7.2,IX,222,976
7,2017 February 10,22:03,Surigao,6.5,VIII,8,200
8,2017 July 6,16:03,Leyte,6.5,VIII,4,100
9,2019 April 22,17:11,Luzon,6.1,VII,18,256
10,2019 April 23,13:37,Eastern Samar,6.5,VI,48,
11,2019 July 9,20:36,Cotabato,5.6,VI,1,73
12,2019 July 27,07:37,Batanes,6.0,VI,9,60
13,2019 October 16,19:37,Cotabato,6.4,VIII,7,215
14,2019 December 15,14:11,Davao del Sur,6.8,VII,13,210
15,2020 August 18,08:03,Masbate,6.6,VIII,2,170
16,2021 August 12,01:46,Davao Oriental,7.1,VII,1,
17,2022 July 27,08:43,Luzon,7.0,VIII,11,615
18,2023 November 17,16:14,Mindanao,6.7,VIII,11,730
19,2023 December 2,22:37,Mindanao,7.6,VII,3,79
